"dist name","dist version ","release date","perl version"
3cx,10.5.0,2020-07-16,5.28.1
3cx,9.9.0,2019-06-16,5.24.1
3cx,8.6.0,2016-12-12,5.20.2
4mlinux,39.0,2022-03-26,5.34.0
4mlinux,38.1,2022-01-30,5.32.1
4mlinux,37.0,2020-12-25,5.32.1
4mlinux,35.0,2019-12-15,5.32.0
4mlinux,31.0,2018-12-01,5.30.0
4mlinux,27.0,2017-11-02,5.26.2
4mlinux,23.0,2016-11-01,5.24.1
4mlinux,20.0,2015-11-01,5.24.0
4mlinux,14.0,2015-03-22,5.22.0
4mlinux,11.1,2014-11-28,5.20.1
4mlinux,10.1,2014-08-24,5.20.1
4mlinux,9.1,,5.20.0
absolute,20220405,2022-04-05,5.34.1
absolute,15.0,2022-02-06,5.34.0
absolute,14.2.2,2016-12-07,5.22.2
absolute,14.12,2015-09-22,5.18.1
absolute,14.11,2014-09-08,5.18.1
absolute,14.04,2013-01-14,5.16.1
absolute,13.50,2012-03-11,5.14.0
absolute,13.38,2011-06-19,5.14.0
absolute,13.2.2,2011-04-27,5.12.3
absolute,13.1.6,2010-10-09,5.10.1
absolute,13.0.9,2010-02-07,5.10.1
absolute,12.2.5,2009-06-06,5.10.0
absolute,12.1.13,2008-11-11,5.10.0
absolute,12.0.7,2007-10-12,5.8.8
absolute,11.0.92,2007-03-29,5.8.8
academix,2.7,2021-10-10,5.28.1
alma,8.5,2021-11-12,5.24.4
alpine,3.15.4,2022-04-04,5.34.0
alpine,3.14.5,2022-03-28,5.34.0
alpine,3.13.9,2022-03-28,5.34.0
alpine,3.12.11,2022-03-28,5.34.0
alpine,3.10.6,2021-02-23,5.28.3
alpine,3.6.2,2017-06-17,--
alpine,3.2.2,2015-07-14,5.20.2
alpine,2.7.8,2014-05-21,5.18.1
alpine,1.10.6,2010-06-16,5.10.1
alt,Sisyphus,2022-04-29,5.34.0
alt,9.1,2020-08-02,5.28.2
alt,9.0,2019-10-28,5.28.1
alt,8.2,2017-12-31,5.22.3
alt,8.1,2016-11-24,5.22.1
alt,7.0.0,2013-07-01,5.16.3
alt,6.0.0,2011-08-30,5.12.3
alt,5.0.0,2009-10-29,5.8.9
alt,4.1.1,2009-01-14,5.8.8
alt,4.0,2007-08-27,5.8.8
alt,3.0,2005-12-08,5.8.7
alt,2.4,2004-09-19,5.8.4
alt,2.3,2004-03-25,5.8.2
alt,2.2,2003-03-04,5.8.0
alt,2.0,2002-04-17,5.6.1
alt,1.1,2001-09-12,5.6.1
anarchy,1.3.3,2021-09-25,5.32.1
anarchy,1.2.1,2020-05-01,5.30.2
androidx86,9.0-r2,2020-03-25," "
androidx86,8.1-r6,2021-06-23," "
androidx86,7.1-r5,2021-02-14," "
androidx86,6.0-r3,2017-04-24," "
androidx86,4.4-r4,2016-01-23," "
antix,21bullseye,2021-10-31,5.32.1
antix,19.5,2022-01-25,5.28.1
antix,17.5,2022-01-09,5.24.1
antix,16.3,2017-12-21,5.20.2
antix,15,2015-06-30,5.20.2
antix,13.2,2013-11-05,5.14.2
antix,12,2012-08-07,5.14.2
antix,11,2011-05-02,5.10.1
antix,8.5,2010-04-12,5.10.1
apodio,13-1.2.7,2020-10-08,5.30.0
apodio,10.03,2015-05-06,5.18.2
apodio,9,2013-03-15,5.14.2
apodio,5.0.8,2009-02-23,5.8.8
